Wavelength (nm)	0.5M HCl	0.75M HCl	1M HCl	1.5M HCl	2M HCl	2.5M HCl	3M HCl	3.5M HCl	4M HCl	4.5M HCl	5M HCl	6M HCl	7M HCl	8M HCl
774,0687256	0,002103714272	0,0019286389	0,001810011803	0,0009258140926	0,0010011798	0,001040748903	0,0006833574153	0,0003014172544	0,00114216574	0,0002875588543	0,0004083359672	-0,0002375681943	0,0003986715165	-0,0006128577515
772,947937	0,002174419584	0,001209573937	0,001000686898	0,0008617959102	0,001323129749	0,001357742469	0,0004681411083	0,0004277173139	0,001196906553	0,00004372360127	0,0002197756985	-0,000579303829	0,0008300756454	-0,0004619223473
771,9669189	0,00160288834	0,001471025404	0,001169288764	0,0008994845557	0,001322636381	0,001108089346	0,00009661717922	-0,0003678390931	0,0001423961658	0,0002057645324	-0,000463835866	-0,0007306119078	-0,0002402071113	-0,001083321637
770,9854736	0,002224555239	0,001994088758	0,001584467711	0,001094179228	0,001118755783	0,001682971255	0,0007174783386	0,0007343323668	0,001093815896	0,000488354417	0,000187843325	-0,0004323909816	0,0001962081878	-0,0006131162518
770,0036621	0,001854203991	0,00174760446	0,001517910627	0,001011143089	0,001074690255	0,001456739963	0,0006412026123	0,0001606262522	0,0010123885	0,0002753068693	0,0001881799835	-0,0003565105144	0,0001364663767	-0,0005694284919
769,0214844	0,00199671532	0,001332633081	0,001071732026	0,0007630116306	0,0006227190024	0,00111003581	0,0002399256482	-0,000006316130566	0,0006620461936	0,0002505189914	0,000355145341	-0,0007351601962	-0,00002645465429	-0,0005051555345
768,0389404	0,002104546642	0,002075154334	0,001840763842	0,001177490805	0,001123972354	0,001717248815	0,00100143929	0,000563696085	0,0009365538717	0,0004857110616	0,0006603091606	-0,0004519408685	0,0001065079341	-0,0003957196604
767,0560913	0,001967330463	0,0019932047	0,001786565757	0,001333775581	0,001310900436	0,001558695803	0,0008043743437	0,0003292648762	0,001359248534	0,0005628925865	0,0005387880956	-0,0002449157182	0,0002049357863	-0,0002803063253
765,932312	0,002521506278	0,002222915879	0,001878433628	0,001366207725	0,00145762309	0,001722524525	0,001324791578	0,0007991616149	0,0008695512661	0,0009405749151	0,0004544587864	-0,00009240307554	0,0005506846937	-0,0003769431496
764,9486694	0,002004465088	0,001518871752	0,001826726249	0,001102743205	0,00113437965	0,00158231135	0,0007287056651	0,0004139585362	0,0007054216112	0,0006232893211	0,0004167050938	-0,0006231974112	-0,00002195074558	-0,0008479208336
